21	1	60	1	97.59036144578313	95.45454545454545	98.36065573770492	95.45454545454545	95.45454545454545	0.9690760059612519	0.46997740951129763
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.3076893813604368
22	0	60	1	98.79518072289157	100.0	98.36065573770492	95.65217391304348	97.77777777777779	0.9918032786885246	0.28893889304116666
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.32552982947619674
22	0	60	1	98.79518072289157	100.0	98.36065573770492	95.65217391304348	97.77777777777779	0.9918032786885246	0.7983566814004232
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.2806977225625755
22	0	60	1	98.79518072289157	100.0	98.36065573770492	95.65217391304348	97.77777777777779	0.9918032786885246	0.3803716339270616
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.3019410524320902
20	2	60	1	96.3855421686747	90.9090909090909	98.36065573770492	95.23809523809524	93.02325581395348	0.9463487332339792	0.5370577290650962
21	1	61	0	98.79518072289157	95.45454545454545	100.0	100.0	97.67441860465117	0.9772727272727273	0.19770057916659475
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.3198715706789396
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.22633631423223113
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.29045571043365104
21	1	59	2	96.3855421686747	95.45454545454545	96.72131147540983	91.30434782608695	93.33333333333333	0.9608792846497766	0.5555082340153836
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.29483767733818617
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.2170305543917217
21	1	60	1	97.59036144578313	95.45454545454545	98.36065573770492	95.45454545454545	95.45454545454545	0.9690760059612519	0.5723931708864276
22	0	60	1	98.79518072289157	100.0	98.36065573770492	95.65217391304348	97.77777777777779	0.9918032786885246	0.7273052402435607
22	0	60	1	98.79518072289157	100.0	98.36065573770492	95.65217391304348	97.77777777777779	0.9918032786885246	0.5442234860968955
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.24636397349848396
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.28913698263453974
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.2748233555087077
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.35290868016393356
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.5089841681599363
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.22504808435236906
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.24047491022348033
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.2716750431624575
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.3408190920238271
22	0	60	1	98.79518072289157	100.0	98.36065573770492	95.65217391304348	97.77777777777779	0.9918032786885246	0.4150779997467487
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.4503101877241865
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.243308754873763
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.15132274632881004
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.34765460095162837
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.6296982226765632
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.2760805950836842
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.34348227187015606
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.38458522665634487
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.26601487101228044
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.5624981993597079
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.4431052845212477
21	1	61	0	98.79518072289157	95.45454545454545	100.0	100.0	97.67441860465117	0.9772727272727273	0.7730369547741038
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.28944880800786643
21	1	61	0	98.79518072289157	95.45454545454545	100.0	100.0	97.67441860465117	0.9772727272727273	0.32981978065916573
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.2921683659522806
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	6.0356795186064405
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.24279810286398637
22	0	60	1	98.79518072289157	100.0	98.36065573770492	95.65217391304348	97.77777777777779	0.9918032786885246	0.32046818260581833
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.6194268502179893
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.29271565984095116
22	0	61	0	100.0	100.0	100.0	100.0	100.0	1.0	0.4112248780561652
